time, value
0.016, -93.5799942
0.056, -95.40000153
0.096, -97.25
0.136, -93.27999878
0.176, -97.11999512
0.216, -94.97999573
0.256, -102.4899979
0.296, -111.7299957
0.336, -101.4000015
0.376, -111.6399994
0.416, -112.5099945
0.456, -113.3199997
0.496, -110.1800003
0.536, -110.75
0.576, -109.8299942
0.616, -105.9499969
0.656, -110.2799988
0.696, -107.8999939
0.736, -108.7099991
0.776, -110.7799988
0.816, -109.0999985
0.856, -110.8399963
0.896, -108.8899994
0.936, -110.7999954
0.976, -114.1899948
1.016, -113.4199982
1.056, -114.5199966
1.096, -116.8499985
1.136, -119.8799973
1.176, -113.8999939
1.216, -114.4199982
1.256, -114.3399963
1.296, -114.0999985
1.336, -116.25
1.376, -116
1.416, -107.9700012
1.456, -107.8699951
1.496, -110.1899948
1.536, -111.3499985
1.576, -110.6999969
1.616, -110.8799973
1.656, -110.9499969
1.696, -109.7699966
1.736, -112.659996
1.776, -114.2399979
1.816, -112.3999939
1.856, -111.6100006
1.896, -109.0999985
1.936, -111.0499954
1.976, -111.2699966
2.016, -115.8699951
2.056, -115.5499954
2.096, -117.7599945
2.136, -111.7900009
2.176, -111.9700012
2.216, -110.4499969
2.256, -113.4300003
2.296, -108.3799973
2.336, -116.2799988
2.376, -114.8299942
2.416, -117.2399979
2.456, -114.9300003
2.496, -109.6199951
2.536, -114.4499969
2.576, -112.9700012
2.616, -111.3899994
2.656, -109.7900009
2.696, -102.2099991
2.736, -97.04999542
2.776, -96.01999664
2.816, -96.86999512
2.856, -94.37999725
2.896, -88.65000153
2.936, -93.04000092
2.976, -93.02999878
3.016, -89.15000153
3.056, -93.11999512
3.096, -94.51999664
3.136, -92.40999603
3.176, -96.58999634
3.216, -94.43000031
3.256, -97.19999695
3.296, -96.75999451
3.336, -101.0599976
3.376, -98.29999542
3.416, -100.4199982
3.456, -98.76999664
3.496, -98.26999664
3.536, -96.95999908
3.576, -100.6500015
3.616, -101.1899948
3.656, -96.56999969
3.696, -97.01999664
3.736, -96.47999573
3.776, -97.84999847
3.816, -98.66999817
3.856, -98.69999695
3.896, -102.6399994
3.936, -99.15999603
3.976, -103.4700012
4.016, -102.7999954
4.056, -99.19999695
4.096, -102.7999954
4.136, -103.9300003
4.176, -103.2200012
4.216, -102.8999939
4.256, -103.5799942
4.296, -107.0099945
4.336, -105.9599991
4.376, -100.3099976
4.416, -103.8399963
4.456, -104.3799973
4.496, -104.7299957
4.536, -107.1999969
4.576, -106.8499985
4.616, -101.7699966
4.656, -105.5199966
4.696, -104.7599945
4.736, -106.0299988
4.776, -108.25
4.816, -105.9700012
4.856, -106.9799957
4.896, -105.9599991
4.936, -106.3799973
4.976, -107.4700012
5.016, -98.61999512
5.056, -105.1800003
5.096, -105.2999954
5.136, -105.4399948
5.176, -102.9199982
5.216, -97.54000092
5.256, -104.6999969
5.296, -106.6100006
5.336, -105.4799957
5.376, -104.3199997
5.416, -104.1899948
5.456, -100.3699951
5.496, -99.40999603
5.536, -106.5999985
5.576, -106.0699997
5.616, -102.3399963
5.656, -105.4300003
5.696, -102.659996
5.737, -105.7200012
5.778, -110.1899948
5.819, -114.6299973
5.86, -119.7799988
5.901, -119.0599976
5.942, -131.2599945
5.983, -136.1100006
6.024, -143.0099945
6.065, -145.5999908
6.106, -156.0599976
6.147, -165.6900024
6.188, -172.8799896
6.229, -182.4099884
6.27, -188.9099884
6.311, -193.9599915
6.352, -199.4700012
6.392, -208.1699982
6.432, -208.2200012
6.472, -219.7399902
6.512, -227.1900024
6.552, -228.0699921
6.592, -224.0899963
6.632, -146.8000031
6.672, -218.4099884
6.713, -215.7999878
6.753, -213.7599945
6.793, -207.4599915
6.833, -207.5599976
6.873, -198.0099945
6.913, -200.1299896
6.953, -200.3199921
6.993, -193.7200012
7.033, -196.5800018
7.073, -190.8799896
7.113, -193.4099884
7.153, -196.0399933
7.193, -196.5800018
7.233, -197.1999969
7.273, -196.7399902
7.313, -195.5
7.353, -195.1599884
7.393, -198.8899994
7.433, -200.5800018
7.473, -199.6699982
7.513, -197.0599976
7.553, -198.8699951
7.593, -200.0099945
7.633, -195.0299988
7.673, -199.3699951
7.713, -199.0500031
7.753, -197.8600006
7.793, -194.3899994
7.833, -198.7899933
7.873, -200.3499908
7.913, -206.2599945
7.953, -205.4499969
7.993, -202.9799957
8.033, -201.8499908
8.073, -198.8699951
8.113, -203.3600006
8.153, -196.5
8.193, -203.5599976
8.233, -202.6199951
8.273, -201.6999969
8.313, -199.5099945
8.353, -200.769989
8.393, -198.2599945
8.433, -200.9899902
8.473, -197.3000031
8.513, -198.019989
8.553, -195.8699951
8.593, -199.3000031
8.633, -193.2799988
8.673, -199.3799896
8.713, -203.1199951
8.753, -193.3899994
8.793, -198.9799957
8.833, -201.4199982
8.873, -208.6699982
8.913, -206.2399902
8.953, -205.4400024
8.993, -203.6399994
9.033, -206.5599976
9.073, -202.6999969
9.113, -205.1399994
9.153, -211.1299896
9.193, -209.3600006
9.233, -209.9499969
9.273, -210
9.313, -210.019989
9.353, -210.3600006
9.393, -207.7599945
9.433, -207.9599915
9.473, -211.0299988
9.513, -207.1799927
9.553, -206.4299927
9.593, -210.8499908
9.633, -208.3199921
9.673, -214.3499908
9.713, -209.3099976
9.753, -207.4400024
9.793, -214
9.833, -211.3699951
9.873, -207.1399994
9.913, -208.5099945
9.953, -211.9299927
9.993, -132.6900024
